Date,Temperature,Site,month,day,year,DayOfYear
6/24/2006,9.600208333,Anchor,6,24,2006,175
6/25/2006,10.40614583,Anchor,6,25,2006,176
6/26/2006,9.798229167,Anchor,6,26,2006,177
6/27/2006,10.3725,Anchor,6,27,2006,178
6/28/2006,12.44166667,Anchor,6,28,2006,179
6/29/2006,12.0271875,Anchor,6,29,2006,180
6/30/2006,11.55270833,Anchor,6,30,2006,181
7/1/2006,12.6759375,Anchor,7,1,2006,182
7/2/2006,13.9865625,Anchor,7,2,2006,183
7/3/2006,14.88947917,Anchor,7,3,2006,184
7/4/2006,14.53885417,Anchor,7,4,2006,185
7/5/2006,13.54625,Anchor,7,5,2006,186
7/6/2006,12.995625,Anchor,7,6,2006,187
7/7/2006,11.89427083,Anchor,7,7,2006,188
7/8/2006,13.09864583,Anchor,7,8,2006,189
7/9/2006,13.8734375,Anchor,7,9,2006,190
7/10/2006,14.8384375,Anchor,7,10,2006,191
7/11/2006,13.32197917,Anchor,7,11,2006,192
7/12/2006,13.17010417,Anchor,7,12,2006,193
7/13/2006,14.97364583,Anchor,7,13,2006,194
7/14/2006,14.3428125,Anchor,7,14,2006,195
7/15/2006,14.1028125,Anchor,7,15,2006,196
7/16/2006,13.45197917,Anchor,7,16,2006,197
7/17/2006,12.52802083,Anchor,7,17,2006,198
7/18/2006,13.15072917,Anchor,7,18,2006,199
7/19/2006,13.07791667,Anchor,7,19,2006,200
7/20/2006,12.16864583,Anchor,7,20,2006,201
7/21/2006,12.10270833,Anchor,7,21,2006,202
7/22/2006,11.64958333,Anchor,7,22,2006,203
7/23/2006,11.38739583,Anchor,7,23,2006,204
7/24/2006,11.8459375,Anchor,7,24,2006,205
7/25/2006,11.57166667,Anchor,7,25,2006,206
7/26/2006,13.134375,Anchor,7,26,2006,207
7/27/2006,14.2640625,Anchor,7,27,2006,208
7/28/2006,14.15739583,Anchor,7,28,2006,209
7/29/2006,14.27697917,Anchor,7,29,2006,210
7/30/2006,12.86489583,Anchor,7,30,2006,211
7/31/2006,13.04760417,Anchor,7,31,2006,212
8/1/2006,13.10770833,Anchor,8,1,2006,213
8/2/2006,12.18427083,Anchor,8,2,2006,214
8/3/2006,11.46229167,Anchor,8,3,2006,215
8/4/2006,11.19177083,Anchor,8,4,2006,216
8/5/2006,12.81729167,Anchor,8,5,2006,217
8/6/2006,12.96604167,Anchor,8,6,2006,218
8/7/2006,13.79302083,Anchor,8,7,2006,219
8/8/2006,14.6090625,Anchor,8,8,2006,220
8/9/2006,14.52854167,Anchor,8,9,2006,221
8/10/2006,13.75354167,Anchor,8,10,2006,222
8/11/2006,12.51354167,Anchor,8,11,2006,223
8/12/2006,12.39802083,Anchor,8,12,2006,224
8/13/2006,12.53989583,Anchor,8,13,2006,225
8/14/2006,11.4834375,Anchor,8,14,2006,226
8/15/2006,10.79260417,Anchor,8,15,2006,227
8/16/2006,10.77583333,Anchor,8,16,2006,228
8/17/2006,11.285,Anchor,8,17,2006,229
8/18/2006,11.17947917,Anchor,8,18,2006,230
8/19/2006,10.6640625,Anchor,8,19,2006,231
8/20/2006,10.961875,Anchor,8,20,2006,232
8/21/2006,10.20604167,Anchor,8,21,2006,233
8/22/2006,10.13333333,Anchor,8,22,2006,234
8/23/2006,9.511666667,Anchor,8,23,2006,235
8/24/2006,9.291458333,Anchor,8,24,2006,236
6/1/2007,6.635208333,Anchor,6,1,2007,152
6/2/2007,7.181875,Anchor,6,2,2007,153
6/3/2007,8.35625,Anchor,6,3,2007,154
6/4/2007,8.678958333,Anchor,6,4,2007,155
6/5/2007,8.842083333,Anchor,6,5,2007,156
6/6/2007,9.197708333,Anchor,6,6,2007,157
6/7/2007,8.765520833,Anchor,6,7,2007,158
6/8/2007,7.655208333,Anchor,6,8,2007,159
6/9/2007,8.131979167,Anchor,6,9,2007,160
6/10/2007,10.37739583,Anchor,6,10,2007,161
6/11/2007,12.09166667,Anchor,6,11,2007,162
6/12/2007,11.04697917,Anchor,6,12,2007,163
6/13/2007,11.56677083,Anchor,6,13,2007,164
6/14/2007,12.17708333,Anchor,6,14,2007,165
6/15/2007,12.90229167,Anchor,6,15,2007,166
6/16/2007,14.10791667,Anchor,6,16,2007,167
6/17/2007,13.2921875,Anchor,6,17,2007,168
6/18/2007,11.95708333,Anchor,6,18,2007,169
6/19/2007,13.25666667,Anchor,6,19,2007,170
6/20/2007,15.7059375,Anchor,6,20,2007,171
6/21/2007,16.438125,Anchor,6,21,2007,172
6/22/2007,14.389375,Anchor,6,22,2007,173
6/23/2007,12.6703125,Anchor,6,23,2007,174
6/24/2007,10.74145833,Anchor,6,24,2007,175
6/25/2007,9.9509375,Anchor,6,25,2007,176
6/26/2007,11.35770833,Anchor,6,26,2007,177
6/27/2007,12.14875,Anchor,6,27,2007,178
6/28/2007,12.03833333,Anchor,6,28,2007,179
6/29/2007,12.75489583,Anchor,6,29,2007,180
6/30/2007,14.1634375,Anchor,6,30,2007,181
7/1/2007,11.80364583,Anchor,7,1,2007,182
7/2/2007,13.19395833,Anchor,7,2,2007,183
7/3/2007,13.98177083,Anchor,7,3,2007,184
7/4/2007,14.14635417,Anchor,7,4,2007,185
7/5/2007,13.01083333,Anchor,7,5,2007,186
7/6/2007,12.6365625,Anchor,7,6,2007,187
7/7/2007,12.8809375,Anchor,7,7,2007,188
7/8/2007,12.83260417,Anchor,7,8,2007,189
7/9/2007,13.1128125,Anchor,7,9,2007,190
7/10/2007,12.51520833,Anchor,7,10,2007,191
7/11/2007,12.13364583,Anchor,7,11,2007,192
7/12/2007,11.43604167,Anchor,7,12,2007,193
7/13/2007,11.523125,Anchor,7,13,2007,194
7/14/2007,11.97302083,Anchor,7,14,2007,195
7/15/2007,13.51864583,Anchor,7,15,2007,196
7/16/2007,13.84583333,Anchor,7,16,2007,197
7/17/2007,14.47770833,Anchor,7,17,2007,198
7/18/2007,12.89416667,Anchor,7,18,2007,199
7/19/2007,12.66447917,Anchor,7,19,2007,200
7/20/2007,13.8409375,Anchor,7,20,2007,201
7/21/2007,14.63458333,Anchor,7,21,2007,202
7/22/2007,12.84114583,Anchor,7,22,2007,203
7/23/2007,10.80489583,Anchor,7,23,2007,204
7/24/2007,10.35791667,Anchor,7,24,2007,205
7/25/2007,10.77083333,Anchor,7,25,2007,206
7/26/2007,11.38510417,Anchor,7,26,2007,207
7/27/2007,13.10927083,Anchor,7,27,2007,208
7/28/2007,14.24489583,Anchor,7,28,2007,209
7/29/2007,15.22770833,Anchor,7,29,2007,210
7/30/2007,15.19552083,Anchor,7,30,2007,211
7/31/2007,14.71729167,Anchor,7,31,2007,212
8/1/2007,13.13145833,Anchor,8,1,2007,213
8/2/2007,12.32041667,Anchor,8,2,2007,214
8/3/2007,12.63479167,Anchor,8,3,2007,215
8/4/2007,12.29895833,Anchor,8,4,2007,216
8/5/2007,12.5665625,Anchor,8,5,2007,217
8/6/2007,13.61677083,Anchor,8,6,2007,218
8/7/2007,13.84708333,Anchor,8,7,2007,219
8/8/2007,13.97270833,Anchor,8,8,2007,220
8/9/2007,14.41322917,Anchor,8,9,2007,221
8/10/2007,13.9403125,Anchor,8,10,2007,222
8/11/2007,14.476875,Anchor,8,11,2007,223
8/12/2007,16.01354167,Anchor,8,12,2007,224
8/13/2007,16.36802083,Anchor,8,13,2007,225
8/14/2007,15.32010417,Anchor,8,14,2007,226
8/15/2007,13.8884375,Anchor,8,15,2007,227
8/16/2007,13.16791667,Anchor,8,16,2007,228
8/17/2007,11.80739583,Anchor,8,17,2007,229
8/18/2007,11.598125,Anchor,8,18,2007,230
8/19/2007,12.05291667,Anchor,8,19,2007,231
8/20/2007,12.21770833,Anchor,8,20,2007,232
8/21/2007,11.55854167,Anchor,8,21,2007,233
8/22/2007,10.9178125,Anchor,8,22,2007,234
8/23/2007,10.82458333,Anchor,8,23,2007,235
8/24/2007,10.97072917,Anchor,8,24,2007,236
6/1/2009,6.588333333,Anchor,6,1,2009,152
6/2/2009,7.025614583,Anchor,6,2,2009,153
6/3/2009,9.156208333,Anchor,6,3,2009,154
6/4/2009,9.924604167,Anchor,6,4,2009,155
6/5/2009,9.154770833,Anchor,6,5,2009,156
6/6/2009,10.32002083,Anchor,6,6,2009,157
6/7/2009,11.95736458,Anchor,6,7,2009,158
6/8/2009,12.54825,Anchor,6,8,2009,159
6/9/2009,12.69746875,Anchor,6,9,2009,160
6/10/2009,13.26526042,Anchor,6,10,2009,161
6/11/2009,12.28544792,Anchor,6,11,2009,162
6/12/2009,10.5051875,Anchor,6,12,2009,163
6/13/2009,11.97134375,Anchor,6,13,2009,164
6/14/2009,12.73742708,Anchor,6,14,2009,165
6/15/2009,13.34802083,Anchor,6,15,2009,166
6/16/2009,12.10657292,Anchor,6,16,2009,167
6/17/2009,10.83226042,Anchor,6,17,2009,168
6/18/2009,11.25694792,Anchor,6,18,2009,169
6/19/2009,11.82642708,Anchor,6,19,2009,170
6/20/2009,11.1155625,Anchor,6,20,2009,171
6/21/2009,10.186625,Anchor,6,21,2009,172
6/22/2009,9.1034375,Anchor,6,22,2009,173
6/23/2009,8.156229167,Anchor,6,23,2009,174
6/24/2009,8.996625,Anchor,6,24,2009,175
6/25/2009,8.4138125,Anchor,6,25,2009,176
6/26/2009,7.238979167,Anchor,6,26,2009,177
6/27/2009,7.76065625,Anchor,6,27,2009,178
6/28/2009,10.42127083,Anchor,6,28,2009,179
6/29/2009,12.00954167,Anchor,6,29,2009,180
6/30/2009,12.00853125,Anchor,6,30,2009,181
7/1/2009,12.15963542,Anchor,7,1,2009,182
7/2/2009,12.00125,Anchor,7,2,2009,183
7/3/2009,12.27408333,Anchor,7,3,2009,184
7/4/2009,13.59694792,Anchor,7,4,2009,185
7/5/2009,14.52275,Anchor,7,5,2009,186
7/6/2009,15.41290625,Anchor,7,6,2009,187
7/7/2009,15.97072917,Anchor,7,7,2009,188
7/8/2009,16.23839583,Anchor,7,8,2009,189
7/9/2009,16.55408333,Anchor,7,9,2009,190
7/10/2009,16.61383333,Anchor,7,10,2009,191
7/11/2009,15.06316667,Anchor,7,11,2009,192
7/12/2009,15.16370833,Anchor,7,12,2009,193
7/13/2009,14.87523958,Anchor,7,13,2009,194
7/14/2009,15.14961458,Anchor,7,14,2009,195
7/15/2009,15.49454167,Anchor,7,15,2009,196
7/16/2009,15.43825,Anchor,7,16,2009,197
7/17/2009,15.32994792,Anchor,7,17,2009,198
7/18/2009,13.71997917,Anchor,7,18,2009,199
7/19/2009,12.89572917,Anchor,7,19,2009,200
7/20/2009,12.54369792,Anchor,7,20,2009,201
7/21/2009,10.59414583,Anchor,7,21,2009,202
7/22/2009,9.811875,Anchor,7,22,2009,203
7/23/2009,10.3265625,Anchor,7,23,2009,204
7/24/2009,10.95302083,Anchor,7,24,2009,205
7/25/2009,10.74588542,Anchor,7,25,2009,206
7/26/2009,11.30916667,Anchor,7,26,2009,207
7/27/2009,12.0025625,Anchor,7,27,2009,208
7/28/2009,12.5676875,Anchor,7,28,2009,209
7/29/2009,13.4173125,Anchor,7,29,2009,210
7/30/2009,11.83648958,Anchor,7,30,2009,211
7/31/2009,11.96028125,Anchor,7,31,2009,212
8/1/2009,12.11725,Anchor,8,1,2009,213
8/2/2009,12.88084375,Anchor,8,2,2009,214
8/3/2009,12.60819792,Anchor,8,3,2009,215
8/4/2009,11.73583333,Anchor,8,4,2009,216
8/5/2009,11.18553125,Anchor,8,5,2009,217
8/6/2009,11.48977083,Anchor,8,6,2009,218
8/7/2009,11.83278125,Anchor,8,7,2009,219
8/8/2009,11.87552083,Anchor,8,8,2009,220
8/9/2009,12.84185417,Anchor,8,9,2009,221
8/10/2009,13.32784375,Anchor,8,10,2009,222
8/11/2009,13.18205208,Anchor,8,11,2009,223
8/12/2009,12.40959375,Anchor,8,12,2009,224
8/13/2009,12.02316667,Anchor,8,13,2009,225
8/14/2009,11.48788542,Anchor,8,14,2009,226
8/15/2009,11.18407292,Anchor,8,15,2009,227
8/16/2009,11.73463542,Anchor,8,16,2009,228
8/17/2009,11.651875,Anchor,8,17,2009,229
8/18/2009,12.07994792,Anchor,8,18,2009,230
8/19/2009,12.29303125,Anchor,8,19,2009,231
8/20/2009,11.54703125,Anchor,8,20,2009,232
8/21/2009,11.15402083,Anchor,8,21,2009,233
8/22/2009,11.64497917,Anchor,8,22,2009,234
8/23/2009,11.34316667,Anchor,8,23,2009,235
8/24/2009,10.98748958,Anchor,8,24,2009,236
6/1/2011,8.776864583,Anchor,6,1,2011,152
6/2/2011,10.49788542,Anchor,6,2,2011,153
6/3/2011,9.69771875,Anchor,6,3,2011,154
6/4/2011,8.489958333,Anchor,6,4,2011,155
6/5/2011,8.687833333,Anchor,6,5,2011,156
6/6/2011,8.9020625,Anchor,6,6,2011,157
6/7/2011,9.2109375,Anchor,6,7,2011,158
6/8/2011,8.6756875,Anchor,6,8,2011,159
6/9/2011,9.210697917,Anchor,6,9,2011,160
6/10/2011,9.04671875,Anchor,6,10,2011,161
6/11/2011,9.07578125,Anchor,6,11,2011,162
6/12/2011,9.87190625,Anchor,6,12,2011,163
6/13/2011,10.01455208,Anchor,6,13,2011,164
6/14/2011,10.72186458,Anchor,6,14,2011,165
6/15/2011,10.573625,Anchor,6,15,2011,166
6/16/2011,9.237145833,Anchor,6,16,2011,167
6/17/2011,9.9978125,Anchor,6,17,2011,168
6/18/2011,10.50430208,Anchor,6,18,2011,169
6/19/2011,11.38861458,Anchor,6,19,2011,170
6/20/2011,11.95255208,Anchor,6,20,2011,171
6/21/2011,12.30002083,Anchor,6,21,2011,172
6/22/2011,12.58610417,Anchor,6,22,2011,173
6/23/2011,12.46629167,Anchor,6,23,2011,174
6/24/2011,13.44986458,Anchor,6,24,2011,175
6/25/2011,12.53792708,Anchor,6,25,2011,176
6/26/2011,11.79858333,Anchor,6,26,2011,177
6/27/2011,11.19530208,Anchor,6,27,2011,178
6/28/2011,11.54728125,Anchor,6,28,2011,179
6/29/2011,12.30802083,Anchor,6,29,2011,180
6/30/2011,13.41745833,Anchor,6,30,2011,181
7/1/2011,13.69829167,Anchor,7,1,2011,182
7/2/2011,12.43767708,Anchor,7,2,2011,183
7/3/2011,12.20228125,Anchor,7,3,2011,184
7/4/2011,13.90021875,Anchor,7,4,2011,185
7/5/2011,14.27509375,Anchor,7,5,2011,186
7/6/2011,13.08753125,Anchor,7,6,2011,187
7/7/2011,12.40680208,Anchor,7,7,2011,188
7/8/2011,11.78975,Anchor,7,8,2011,189
7/9/2011,11.53145833,Anchor,7,9,2011,190
7/10/2011,11.67460417,Anchor,7,10,2011,191
7/11/2011,11.86323958,Anchor,7,11,2011,192
7/12/2011,13.113,Anchor,7,12,2011,193
7/13/2011,12.90067708,Anchor,7,13,2011,194
7/14/2011,13.39589583,Anchor,7,14,2011,195
7/15/2011,14.22964583,Anchor,7,15,2011,196
7/16/2011,14.79010417,Anchor,7,16,2011,197
7/17/2011,13.225875,Anchor,7,17,2011,198
7/18/2011,13.41133333,Anchor,7,18,2011,199
7/19/2011,14.22391667,Anchor,7,19,2011,200
7/20/2011,14.19788542,Anchor,7,20,2011,201
7/21/2011,14.10639583,Anchor,7,21,2011,202
7/22/2011,15.39640625,Anchor,7,22,2011,203
7/23/2011,13.98125,Anchor,7,23,2011,204
7/24/2011,12.73054167,Anchor,7,24,2011,205
7/25/2011,13.47563542,Anchor,7,25,2011,206
7/26/2011,12.67992708,Anchor,7,26,2011,207
7/27/2011,13.33565625,Anchor,7,27,2011,208
7/28/2011,12.95628125,Anchor,7,28,2011,209
7/29/2011,14.10855208,Anchor,7,29,2011,210
7/30/2011,14.74075,Anchor,7,30,2011,211
7/31/2011,14.28238542,Anchor,7,31,2011,212
8/1/2011,13.7133125,Anchor,8,1,2011,213
8/2/2011,12.62979167,Anchor,8,2,2011,214
8/3/2011,11.97616667,Anchor,8,3,2011,215
8/4/2011,10.90961458,Anchor,8,4,2011,216
8/5/2011,11.5793125,Anchor,8,5,2011,217
8/6/2011,10.43548958,Anchor,8,6,2011,218
8/7/2011,10.60454167,Anchor,8,7,2011,219
8/8/2011,10.72651042,Anchor,8,8,2011,220
8/9/2011,11.41665625,Anchor,8,9,2011,221
8/10/2011,12.15265625,Anchor,8,10,2011,222
8/11/2011,11.92019792,Anchor,8,11,2011,223
8/12/2011,11.89621875,Anchor,8,12,2011,224
8/13/2011,12.6840625,Anchor,8,13,2011,225
8/14/2011,13.31255208,Anchor,8,14,2011,226
8/15/2011,13.07001042,Anchor,8,15,2011,227
8/16/2011,12.78814583,Anchor,8,16,2011,228
8/17/2011,13.06441667,Anchor,8,17,2011,229
8/18/2011,11.95421875,Anchor,8,18,2011,230
8/19/2011,10.69388542,Anchor,8,19,2011,231
8/20/2011,10.2058125,Anchor,8,20,2011,232
8/21/2011,10.8273125,Anchor,8,21,2011,233
8/22/2011,10.36041667,Anchor,8,22,2011,234
8/23/2011,10.19363542,Anchor,8,23,2011,235
8/24/2011,9.15625,Anchor,8,24,2011,236
6/1/2012,6.514885417,Anchor,6,1,2012,153
6/2/2012,7.296239583,Anchor,6,2,2012,154
6/3/2012,6.996552083,Anchor,6,3,2012,155
6/4/2012,6.58340625,Anchor,6,4,2012,156
6/5/2012,8.163458333,Anchor,6,5,2012,157
6/6/2012,7.597739583,Anchor,6,6,2012,158
6/7/2012,8.441333333,Anchor,6,7,2012,159
6/8/2012,9.550208333,Anchor,6,8,2012,160
6/9/2012,10.19453125,Anchor,6,9,2012,161
6/10/2012,9.288791667,Anchor,6,10,2012,162
6/11/2012,9.730322917,Anchor,6,11,2012,163
6/12/2012,10.16080208,Anchor,6,12,2012,164
